S-10B Kaldi 0 22.2222222222 S:18, I:2, D:18
S-10B Kaldi 1 16.2454873646 S:28, I:3, D:14
S-10B Kaldi 2 19.0769230769 S:39, I:3, D:20
S-10B Kaldi 3 20.3389830508 S:41, I:3, D:16
S-10B Kaldi 4 16.5532879819 S:46, I:3, D:24
S-10B Kaldi 5 16.7800453515 S:50, I:10, D:14
S-10B Kaldi 6 19.7530864198 S:15, I:2, D:15
S-10B Kaldi 7 16.9491525424 S:22, I:0, D:18
S-10B Kaldi 8 17.7165354331 S:27, I:3, D:15
S-10B Google 0 40.350877193 S:29, I:2, D:38
S-10B Google 1 31.4079422383 S:45, I:5, D:37
S-10B Google 2 28.3076923077 S:51, I:2, D:39
S-10B Google 3 28.1355932203 S:44, I:2, D:37
S-10B Google 4 29.0249433107 S:75, I:2, D:51
S-10B Google 5 25.3968253968 S:60, I:10, D:42
S-10B Google 6 30.2469135802 S:27, I:0, D:22
S-10B Google 7 26.2711864407 S:44, I:2, D:16
S-10B Google 8 28.7401574803 S:48, I:0, D:25
S-21A Kaldi 0 45.9143968872 S:63, I:1, D:54
S-21A Kaldi 1 40.5303030303 S:60, I:6, D:41
S-21A Kaldi 2 37.9679144385 S:46, I:6, D:19
S-21A Kaldi 3 37.8132118451 S:84, I:6, D:76
S-21A Kaldi 4 43.9121756487 S:125, I:12, D:83
S-21A Kaldi 5 40.977443609 S:56, I:3, D:50
S-21A Kaldi 6 42.7184466019 S:18, I:0, D:26
S-21A Kaldi 7 33.3333333333 S:7, I:0, D:5
S-21A Kaldi 8 28.2051282051 S:6, I:2, D:3
S-21A Kaldi 9 48.7804878049 S:10, I:0, D:10
S-21A Kaldi 10 29.6089385475 S:29, I:1, D:23
S-21A Kaldi 11 46.8571428571 S:37, I:0, D:45
S-21A Google 0 66.1478599222 S:71, I:0, D:99
S-21A Google 1 58.3333333333 S:63, I:0, D:91
S-21A Google 2 62.0320855615 S:46, I:1, D:69
S-21A Google 3 61.7312072893 S:124, I:0, D:147
S-21A Google 4 62.0758483034 S:138, I:4, D:169
S-21A Google 5 63.1578947368 S:78, I:2, D:88
S-21A Google 6 62.1359223301 S:21, I:0, D:43
S-21A Google 7 61.1111111111 S:8, I:0, D:14
S-21A Google 8 48.7179487179 S:8, I:0, D:11
S-21A Google 9 73.1707317073 S:11, I:0, D:19
S-21A Google 10 49.1620111732 S:37, I:0, D:51
S-21A Google 11 63.4285714286 S:43, I:0, D:68
S-7C Kaldi 0 21.9551282051 S:76, I:35, D:26
S-7C Kaldi 1 24.8259860789 S:65, I:28, D:14
S-7C Kaldi 2 20.3125 S:65, I:22, D:17
S-7C Kaldi 3 27.397260274 S:84, I:13, D:63
S-7C Kaldi 4 23.6842105263 S:54, I:13, D:32
S-7C Kaldi 5 24.2424242424 S:79, I:27, D:38
S-7C Google 0 29.4871794872 S:98, I:19, D:67
S-7C Google 1 37.1229698376 S:101, I:15, D:44
S-7C Google 2 26.5625 S:72, I:6, D:58
S-7C Google 3 39.2123287671 S:108, I:6, D:115
S-7C Google 4 32.7751196172 S:75, I:1, D:61
S-7C Google 5 33.8383838384 S:97, I:7, D:97
S-19C Kaldi 0 41.2371134021 S:36, I:26, D:18
S-19C Kaldi 1 52.4390243902 S:21, I:7, D:15
S-19C Kaldi 2 28.0542986425 S:37, I:7, D:18
S-19C Kaldi 3 44.6428571429 S:32, I:5, D:13
S-19C Kaldi 4 31.906614786 S:50, I:4, D:28
S-19C Kaldi 5 47.0198675497 S:40, I:10, D:21
S-19C Kaldi 6 41.5730337079 S:17, I:11, D:9
S-19C Kaldi 7 40.6779661017 S:13, I:8, D:3
S-19C Kaldi 8 21.5384615385 S:11, I:1, D:2
S-19C Kaldi 9 44.7368421053 S:16, I:3, D:15
S-19C Kaldi 10 19.3548387097 S:3, I:1, D:2
S-19C Kaldi 11 64.8148148148 S:18, I:7, D:10
S-19C Google 0 52.0618556701 S:60, I:2, D:39
S-19C Google 1 62.1951219512 S:9, I:0, D:42
S-19C Google 2 45.7013574661 S:52, I:1, D:48
S-19C Google 3 60.7142857143 S:32, I:3, D:33
S-19C Google 4 51.3618677043 S:69, I:2, D:61
S-19C Google 5 58.940397351 S:37, I:7, D:45
S-19C Google 6 46.0674157303 S:24, I:1, D:16
S-19C Google 7 35.593220339 S:15, I:1, D:5
S-19C Google 8 29.2307692308 S:10, I:0, D:9
S-19C Google 9 50.0 S:18, I:0, D:20
S-19C Google 10 45.1612903226 S:5, I:0, D:9
S-19C Google 11 59.2592592593 S:18, I:1, D:13
S-27C Kaldi 0 21.9895287958 S:44, I:13, D:27
S-27C Kaldi 1 16.1290322581 S:24, I:8, D:18
S-27C Kaldi 2 14.8688046647 S:36, I:4, D:11
S-27C Kaldi 3 19.6428571429 S:44, I:17, D:27
S-27C Kaldi 4 16.3009404389 S:57, I:8, D:39
S-27C Kaldi 5 21.3011542497 S:123, I:15, D:65
S-27C Kaldi 6 20.8053691275 S:15, I:2, D:14
S-27C Kaldi 7 12.0 S:4, I:0, D:2
S-27C Kaldi 8 34.7368421053 S:23, I:3, D:7
S-27C Kaldi 9 21.1538461538 S:13, I:3, D:6
